ev_id,trip_index,location_zone,location_type,arrival_min,departure_min,charged_kwh,deferrable_kwh,max_delay_min
624,0,15,W,443.35117595510206,1027,13.624267805695872,13.624267805695872,509.33463601382954
625,0,20,W,456.35149409183674,1032,9.781289884480746,9.781289884480746,522.2960156291774
626,1,17,H,899.600726,1440,0.9619965429808097,0.9619965429808097,532.3826361418265
627,0,18,W,438.802112,1036,13.33970351885437,13.33970351885437,524.4358688062489
628,1,2,H,1057.9222491591836,1440,4.534131480454718,4.534131480454718,344.2933218370272
630,1,11,H,1088.750437755102,1440,4.3457794525369895,4.3457794525369895,315.03473347375643
631,0,2,W,474.9165580734694,1063,12.239798482326322,12.239798482326322,521.3209047502053
633,0,1,W,456.95746319591836,1053,9.321889588414692,9.321889588414692,545.1958663218197
635,1,5,H,1089.0364433346938,1440,9.623553282751885,9.623553282751885,270.76727930904053
636,0,3,O,913.3519635,1031,7.363876345938477,7.363876345938477,77.48143824942645
637,1,23,H,1043.2521971938775,1440,0.7910733087351716,0.7910733087351716,390.1555252333294
640,1,17,H,1016.7512459183673,1440,3.476515108771986,3.476515108771986,394.27779484186624
641,0,12,W,495.9143371265306,1044,11.034755212598055,11.034755212598055,487.8960889865709
645,1,11,H,1070.949406387755,1440,3.360962927800232,3.360962927800232,341.0425692139097
646,1,1,H,1063.3680867714286,1440,5.245866467571851,5.245866467571851,332.91635933213934
647,1,16,H,749.700957,1440,8.236046720755002,8.236046720755002,621.6653203270416
648,1,9,H,849.041926122449,1440,7.0561232415534505,7.0561232415534505,532.1570468646055
649,1,18,H,1057.927804857143,1440,3.062742117789064,3.062742117789064,356.5493441612814
651,1,17,H,1072.3351813673469,1440,9.117797001482876,9.117797001482876,291.6831769536291
652,1,17,H,1082.858831820408,1440,4.760390417947752,4.760390417947752,317.47124803002725
653,1,19,H,1332.7225888163266,1440,5.174583106927191,5.174583106927191,64.15588529261345
654,1,3,H,1062.3646930816326,1440,7.520952977002382,7.520952977002382,314.96069877668083
657,1,3,H,1067.8772765204083,1440,5.185453229625164,5.185453229625164,328.9106132327154
661,1,9,H,1064.0789756836734,1440,5.343573515153789,5.343573515153789,331.39124502337836
662,1,24,H,1071.3617650285714,1440,2.1122816642394824,2.1122816642394824,351.035887769433
663,1,4,H,1304.9205412,1440,0.3254796538931899,0.3254796538931899,132.3671283508902
666,1,8,H,1068.3757319183674,1440,2.249725621236742,2.249725621236742,352.87655457132655
668,1,5,H,1086.5800815204082,1440,8.729507984234791,8.729507984234791,280.6740186109687
670,0,17,W,452.33290840816323,1050,13.393354666547996,13.393354666547996,524.6124297743022
671,1,16,H,613.3504785,1440,7.761493378007822,7.761493378007822,761.9704100166014
674,1,10,H,966.6239598653061,1440,11.91806573689123,11.91806573689123,374.0588256606003
675,1,19,H,1078.2569294244897,1440,9.320820770334429,9.320820770334429,284.0695641560567
677,1,3,H,1329.72160797551,1440,3.87743051105204,3.87743051105204,77.9664710990562
678,0,15,W,495.291388522449,1030,10.734797791057575,10.734797791057575,476.1551689808733
679,1,1,H,653.501533489796,1440,14.021166802138735,14.021166802138735,669.6554098257145
681,0,8,W,449.84567546122446,1065,8.646157346352764,8.646157346352764,567.9934662859423
681,1,23,H,1080.8537164163265,1440,2.457618102227258,2.457618102227258,338.6661327317797
682,1,17,H,1276.0008620408164,1440,2.620745107481021,2.620745107481021,142.15959539684172
683,0,17,W,471.8743911183673,1048,12.053658093196956,12.053658093196956,510.3783829187402
684,0,17,W,431.7521130102041,1046,11.361835923458019,11.361835923458019,552.2742364982067
685,1,10,H,770.2603696,1440,12.881271978862348,12.881271978862348,562.3956972428138
686,0,19,W,496.29848823673467,1045,10.13071523651073,10.13071523651073,493.4430650186614
687,0,18,O,483.76713344897956,593,12.225426884809579,7.800598649544167,42.548719906604504
688,0,1,W,468.3704806857143,1055,11.187064850813998,11.187064850813998,525.609165582573
689,1,15,H,651.9205412,1440,6.02170806710471,6.02170806710471,737.8985582407942
690,1,5,H,1093.6706655061225,1440,13.087854285925694,13.087854285925694,237.2638821111634
691,1,15,H,1041.754613265306,1440,6.2903741583139805,6.2903741583139805,345.82560208207747
693,1,4,H,1069.9323514489795,1440,4.233683811763152,4.233683811763152,334.786950119661
694,0,19,W,437.0822326857143,1032,8.711462927067828,8.711462927067828,547.4006968030067
694,1,1,H,1042.0845709714285,1440,1.6969930596216187,1.6969930596216187,383.7738201983914
695,0,24,W,459.08830845714283,1010,12.72085357697831,12.72085357697831,481.52521748661184
698,0,9,O,830.801056,966,12.214206145655595,12.214206145655595,68.57600138733312
699,1,17,H,1095.6838388061224,1440,3.8873170916384154,3.8873170916384154,311.9218520968909
700,1,4,H,1056.9215462857144,1440,6.306991126464791,6.306991126464791,330.520194327079
701,0,22,O,1099.6422838693877,1213,14.048945902983824,6.733302054295095,36.72710211433696
702,1,17,H,1081.3224576857142,1440,11.41946781222206,11.41946781222206,263.51531054576867
703,1,1,H,1055.8986039183674,1440,6.062457568373475,6.062457568373475,333.580916345187
704,1,19,H,1069.3690395755102,1440,5.537693235219967,5.537693235219967,324.48351679765665
710,1,15,H,911.7216211755102,1440,2.9721186335912506,2.9721186335912506,503.51072354456267
711,1,14,H,700.00066,1440,7.393729663929754,7.393729663929754,678.3849261339186
712,1,18,H,1104.5432441428572,1440,9.152204165015924,9.152204165015924,259.1883878153433
716,1,13,H,1044.327126922449,1440,6.3049105734604325,6.3049105734604325,343.1319516320475
717,1,3,H,1040.2535525510204,1440,7.5714114527168626,7.5714114527168626,336.65135200967234
718,1,18,H,1039.9095141020407,1440,8.099331994461425,8.099331994461425,332.5960526107808
719,1,2,H,1039.7011230102041,1440,7.518448667298179,7.518448667298179,337.64513809564437
720,0,23,W,470.65524034285716,1055,7.341644366362285,7.341644366362285,544.2994267497122
720,1,2,H,1069.6609874612245,1440,2.464587727986654,2.464587727986654,349.80078147222
721,1,23,H,818.6714924755101,1440,7.967590876683133,7.967590876683133,554.9319168854638
722,1,23,H,1060.6029928979592,1440,6.473406211135998,6.473406211135998,325.45195534257414
724,1,24,H,1067.9187411918367,1440,6.698804702110426,6.698804702110426,316.2578862905764
726,1,17,H,1049.9119143469388,1440,5.35829962576036,5.35829962576036,345.43558877172495
727,1,8,H,1071.9250033387755,1440,7.294656651789655,7.294656651789655,307.28619122964415
728,1,14,H,1082.3682217142857,1440,9.818249126523146,9.818249126523146,275.8130355646881
729,1,1,H,1075.9916743632652,1440,13.357538215551896,13.357538215551896,252.6955071738023
